ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
7195;Care dintre urmatoarele obligatii revin salariatilor (in conformitate cu legea† securitatii si sanatatii in munca)?;sa elaboreze instructiuni pentru aplicarea normelor de securitatea muncii, corespunzator;sa isi insuseasca si sa respecte prevederile legislatiei in domeniul securitatii si sanatatii in† munca si masurile de aplicare a acestora;sa asigure realizarea masurilor stabilite de inspectorii de munca, cu prilejul controalelor si† al cercetarii accidentelor de munca;-;-;B;PROTECTIA MUNCII;3
7196;Care dintre urmatoarele precizari sunt adevarate pentru usile ce au destinatia de iesire de urgenta?;Usile de iesire in caz de urgenta trebuie sa se deschida spre interior;Usile de iesire in caz de urgenta trebuie sa se deschida spre exterior;Usile de iesire de urgenta nu trebuie sa fie incuiate;Usile de iesire de urgenta nu pot fi glisante sau turnante;-;BCD;PROTECTIA MUNCII;3
7197;Va rugam sa precizati care sunt criteriile de separare ale celor doua protectii in cazul in care pentru fiecare echipament (linie, transformator etc.) al instalatiilor electrice este necesar sa se prevada o protectie de baza si o protectie de rezerva locala in celula (sau doua protectii de baza pentru unele categorii de elemente);cele doua protectii nu se vor separa, de regula, in grupe independente din punct de vedere constructiv, al circuitelor de masur, de declansare si de alimentare operativa;cele doua protectii se vor separa, de regula, in grupe independente din punct de vedere constructiv, al circuitelor de masura .;cele doua protectii se vor separa, de regula, in grupe independente din punct de vedere constructiv, al circuitelor de declansarea;cele doua protectii se vor separa, de regula, in grupe independente din punct de vedere constructiv, al circuitelor de alimentare operativa;cele doua protectii se vor separa, de regula, in grupe independente din punct de vedere constructiv, al cailor de transmisie a semnalelor de protectie;BCDE;PROFESIONALA;2
7274;Care din urmatoarele afirmatii referitoare la definitia unei linii electrice scurte sunt adevarate?;orice linie electrica aeriana de inalta tensiune a carei lungime totala este, de regula, mai mica mai mica de 20 km;orice linie electrica mixta (aerian+cablu) de inalta tensiune a carei lungime totala este, de regula, mai mica mai mica de 20 km;orice linie electrica aeriana de inalta tensiune a carei lungime totala este, de regula, mai mica mai mica de 10 km;orice linie electrica mixta (aerian+cablu) de inalta tensiune a carei lungime totala este, de regula, mai mica mai mica de 10 km;orice linie electrica realizata integral cu cabluri de inalta tensiune;ABE;PROFESIONALA;3
7547;La o punere la pamant intr-o retea cu neutrul izolat curentii capacitivi circula:;Pe fazele sanatoase spre linie, pe faza defecta spre bare.;Pe fazele sanatoase spre bare, pe faza defecta spre linie.;Pe toate fazele circula spre linie.;Pe faza defecta circula suma curentilor capacitivi de pe fazele sanatoase ale tuturor liniilor.;-;AD;PROFESIONALA;6
7548;O instalatie de AAR porneste:;Daca elementul U< sesizeaza scaderea tensiunii pe barele colectoare sub valoarea reglata.;Daca declanseaza intreruptorul sursei de baza.;Daca primeste impuls de pornire de la instalatia de protectie a sursei de baza.;Numai daca dispare complet tensiunea de pe toate fazele, cu verificarea tensiunii la sursa de rezerva.;-;AB;PROFESIONALA;3
7549;In schema RAR OZ 111 :;Releul G realizeaza prelungirea treptei rapide a protectiei de distanta, la comanda manuala.;Releul A executa comanda de anclansarea.;Releul M realizeaza prelungirea treptei rapide a protectiei de distanta, la defecte monofazate.;-;-;AC;PROFESIONALA;5
7550;In schema de functionare RAR-T :;Pauza de RAR este realizata de contactul RTpf al releului de timp RTp;Pauza de RAR este realizata de contactul Rtpa al releului de timp RTp;Pauza RAR este realizata de diferenta de timp dintre RTpf si Rtpa.;Contactul A3 executa comanda de anclansarea.;-;B;PROFESIONALA;5
7551;La releul RDS-3a caracteristica de actionare-franare depinde de:;Defazajul intre curentul de actionare si cel de franare.;La un defazaj de 0 grade intre curentul de actionare si cel de franare, releul va lucra la un curent de actionare mai mare decat la un defazaj de 90 de grade;La un defazaj de 90 grade intre curentul de actionare si cel de franare, releul va lucra la un curent de actionare mai mare decat la un defazaj de 0 de grade;-;-;AB;PROFESIONALA;6
7552;Caracteristica de actionare-franare al releului RDS-3a este influentata de capacul releului:;Nu, deoarece capacul are rol de protectie;Da, numai daca este metalic;Da;-;-;BC;PROFESIONALA;2
7553;La releul RD-110, valorile impedantelor de basculare dintr-o treapta in alta :;Todeauna depind de defazajul dintre tensiune si curentul aplicat releului;Depind de defazajul dintre tensiune si curentul aplicat releului numai in cazul caracteristicii cu centrul cercului deplasat;Treptele impedantelor de basculare sunt cele mai mari la un defazaj de 0 grade;Treptele impedantelor de basculare sunt cele mai mari la un defazaj de 70 grade;-;BC;PROFESIONALA;5
7554;In schema releului RD-110, eclisele L1, L2, L3, L4, au urmatoarele functii:;"L1-alege sensul in care elementul de directie ""vede"" defectul; L2-comutator selectare schema ciclic sau aciclic; L3- directioneaza treapta ""te"" a elementului de timp; L4- sunteaza prin conectare blocajul la pendulatie";"L3-alege sensul in care elementul de directie "" vede"" defectul; L1-comutator selectare schema ciclic sau aciclic; L2- directioneaza treapta "" te"" a elementului de timp; L4- sunteaza prin conectare blocajul la pendulatie";"L1-alege sensul in care elementul de directie ""vede"" defectul; L3-comutator selectare schema ciclic sau aciclic; L2- directioneaza treapta "" te"" a elementului de timp; L4- sunteaza prin conectare blocajul la pendulatie";"L4-alege sensul in care elementul de directie ""vede"" defectul; L3-comutator selectare schema ciclic sau aciclic; L2- directioneaza treapta ""te"" a elementului de timp; L1- sunteaza prin conectare blocajul la pendulatie";-;B;PROFESIONALA;5
7555;Blocajul la pendulatie la releul D114 se realizeaza prin deschiderea contactului p1/2 :;Timp aproximativ de 0.5 sec.;Timp aproximativ de 1.5 sec.;Timp aproximativ de 1 sec.;Timp aproximativ de 0.8 sec.;-;C;PROFESIONALA;5
7556;Curentul minim de demaraj a elementelor ZMr, ZMs, ZMt este :;0.2*In pentru pozitia K1 a eclisei interioare;0.25*In pentru pozitia K1 a eclisei interioare;0.375*In pentru pozitia K2 a eclisei interioare;0.5*In pentru pozitia K2 a eclisei interioare;-;AC;PROFESIONALA;6
7557;La o LEA 110 kV cu TC=300/5 A, daca impedanta primara este Z1p=12.50 ohmi/faza, impedanta secundara este :;Z1s = 0.5 ohmi/faza;Z1s = 0.681 ohmi/faza;Z1s = 0.781 ohmi/faza;Z1s = 0.66 ohmi/faza;-;B;PROFESIONALA;6
7558;Sensibilitatea releului directional SM se verifica:;La unghi de sensibilitate maxima si la un curent de 1.5*In, tensiunea de actionare trebuie sa fie 0.15V;La unghi de sensibilitate maxima si la un curent de 1*In, tensiunea de actionare trebuie sa fie 0.15V;La un unghi de 30 de grade capacitiv intre tensiunea si curentul aplicat releului directional si un curent de 1.5*In, Uact= 0.15 V;La un unghi de 60 de grade capacitiv intre tensiunea si curentul aplicat releului directional, Uact= 0.15 V;-;AC;PROFESIONALA;5
7559;Daca la un releu PD3/2, la un defect trifazat apropiat elementul de directie Df- Ds nu se orienteaza, dar elementul de masura Z actioneaza:;Atunci releul PD 3/2 va declansa numai in ultima treapta de demaraj;Atunci se provoaca actionarea elementului de directie Df si releul va lucra si daca defectul este in spate;Atunci se provoaca actionarea elementului de directie Df, daca defectul este in fata sau se provoaca actionarea lui Ds , daca defectul este in spate;Atunci, releul va lucra eronat la un defect trifazat apropiat in spate;-;BD;PROFESIONALA;5
7560;Unghiul de sensibilitate maxima al elementului directional din releului PD3/2 este :;30 de grade capacitiv pentru Df si 135 de grade capacitiv pentru Ds;45 de grade capacitiv pentru Df si 135 de grade inductiv pentru Ds;315 grade inductiv pentru Df si 225 de grade capacitiv pentru Ds;45 de grade inductiv pentru Df si 135 de grade capacitiv pentru Ds;-;BC;PROFESIONALA;5
7561;Curentul minim de actionare a elementelor de demaraj al releului PD 3/2 este:;0.25*In;0.3*In;0.5*In;1*In;-;C;PROFESIONALA;5
7562;Releul FRC-2a este mai sensibil decat protectia maximala de curent, in acest fel zona de linie protejata de acest releu creste de :;1-2 ori;2-3 ori;3-4 ori;zona protejata nu creste;-;B;PROFESIONALA;2
7563;La aparitia unei puneri la pamant nete, tensiunile din sistem se modifica astfel :;tensiunea fazei defecte fata de pamant devine nula, iar punctul neutru capata o valoare egala si de sens contrar cu tensiunea de pe fazele sanatoase;tensiunea fazei defecte fata de pamant devine nula, iar tensiunile fata de pamant ale fazelor sanatoase cresc, devenind egale cu tensiunile intre faze;tensiunea fazei defecte fata de pamant devine nula, iar punctul neutru capata o valoare egala si de sens contrar cu tensiunea pe faza defecta;-;-;BC;PROFESIONALA;3
7564;Releul de semnalizare RdS-3 lucreaza la :;la aparitia marimii controlate;la disparitia marimii controlate;in functie de instalatia in care este montat;-;-;B;PROFESIONALA;5
7565;La releul RDS-3a raportul minim al curentilor care poate fi egalizat este :;1,8 corespunzator valorii minime de reglaj 5A;1,8 corespunzator valorii minime de reglaj 3A;1,4 corespunzator valorii minime de reglaj 3A;-;-;B;PROFESIONALA;3
7566;La dispozitivul RAR-1MT accelerarea inainte sau dupa RAR a protectiei se face :;cu eclisa A pe 2;cu eclisa D pe 1;cu eclisa Z pe 2;cu eclisa V pe 1;-;C;PROFESIONALA;6
7567;La releul de distanta D114, despre eclisa T4 situata pe fata interioara a partii rabatabile se poate spune ca:;pe pozitia SM directioneaza contactul tm3, corespunzator treptei a 4-a;pe pozitia SM directioneaza contactul tmk, corespunzator treptei a 5-a;pe pozitia NE contactul tmk, nu este directionat;nu are legatura cu directionarea vreunei trepte, ci numai cu deplasarea centrului cercului la elementele de minima impedanta;-;A;PROFESIONALA;6
7568;La releul de distanta D114 modificarea numarului de spire al autotransformatorului V , pentru masurarea impedantei de defect in treapta a 2-a si a 3-a se face prin :;contactele tmp si tmk;contactele tmp si tm1;contactele tm1 si tm2;contactele tm2 si tm3;-;C;PROFESIONALA;3
7569;Anularea directiei si blocajul la pendulatii in cazul releului de distanta D114 se face :;prin efectuarea unei punti intre bornele 20-34;prin efectuarea unei punti intre bornele 20-32;prin efectuarea unei punti intre bornele 31-32;-;-;B;PROFESIONALA;5
7570;In situatia unui scurtcircuit trifazat apropiat, elementul de directie din releul de distanta PD3/2 are o zona moarta. Eliminarea acestei zone se face astfel :;releului de directie DF i se provoaca o actionare in sensul declansarii, dupa 0,25-0,45 s de la actionarea elementului de masura Z;releului de directie DF i se provoaca o actionare in sensul declansarii, dupa 0,15-0,25 s de la actionarea elementului de masura Z;schema de eliminare a zonei moarte se pune in functie prin asezarea eclisei L de pe placa laterala dreapta (placa L) pe pozitie orizontala;anularea schemei de eliminare a zonei moarte se face prin asezarea eclisei L de pe placa laterala dreapta (placa L) pe pozitie verticala;-;ACD;PROFESIONALA;6
7571;La punerea sub tensiune a transformatorului sau la lichidarea unui scurtcircuit exterior pe o ramificatie spre sursa de alimentare apare un curent soc de magnetizare care poate fi :;cu o valoare de peste 10 X In;cu o valoare (6-8) X In;valoarea curentului soc de magnetizare este maxima daca inchiderea contactelor intrerupatorului se face la trecerea prin 0 a tensiunii;valoarea curentului soc de magnetizare este minima daca inchiderea contactelor intrerupatorului se face la trecerea printr-un maxim al tensiunii;depinde de valoarea instantanee a tensiunii in momentul inchiderii contactelor intrerupatorului;BCDE;PROFESIONALA;6
7572;Care din urmatoarele functii sunt specifice sistemelor SCADA?;supravegherea si controlul local al instalatiilor si retelelor energetice;alarmarea;analiza post avarie;informarea de ansamblu a dispecerului asupra topologiei si starii sistemului energetic condus;urmarirea incarcarii retelei;BCDE;PROFESIONALA;3
7573;Infasurarile primare si secundare ale unui transformator au intotdeauna in comun;lungimea conductorului;circuitul magnetic;numarul de spire;-;-;B;PROFESIONALA;2
7574;Masurarea sensibilitatii RPP la variatia tensiunii de alimentare se face pentru o valoare a acesteia de:;100V/50Hz;75V/50Hz;30V/50Hz;60V/50Hz;-;B;PROFESIONALA;2
7575;Semnalizarea generala de punere la pamant este data de releul RPP la perechea de cleme:;16-17;18-19;33-34;-;-;A;PROFESIONALA;2
7576;In cazul protectiei diferentiale longitudinale la transformatoare, se folosesc autotransformatoare de egalizare sau bobine de egalizare ale TSR in cazul in care, in regim normal de functionare, rezulta o diferenta intre curentii secundari care este mai mare de:;10%;5%;15%;-;-;B;PROFESIONALA;2
7577;La transformatoarele de tensiune inductiva monofazate romanesti, a doua infasurare auxiliara are tensiunea nominala, in cazul folosirii transformatorului in retele cu punctul neutru legat la pamant prin bobina de stingere, de:;100/3V;100V;100/‚??3V;-;-;A;PROFESIONALA;2
7578;Unghiurile de sensibilitate maxima care se pot obtine la un releu directional IMB-171/1 sunt:;0, 30, 45, 110;0, 30, 90, 110;0, 30, 45;30, 45;-;D;PROFESIONALA;3
7579;Releul directional de procese tranzitorii poate fi utilizat ca protectie selectiva contra punerilor la pamant:;in retele cu neutrul izolat cu curenti capacitivi mai mari de 3A;in retele cu neutrul compensat cu curenti capacitivi mai mici de 3A;in retele cu neutrul compensat cu curenti capacitivi mai mari de 3A;in retele cu neutrul izolat cu curenti capacitivi mai mici de 3A;-;AC;PROFESIONALA;3
7580;Principiul de functionare al protectiei diferentiale a barelor colectoare dintr-o statie electrica se bazeaza pe:;Legea I a lui Kirchhoff;Legea II a lui Kirchhoff;Legea lui Ohm;-;-;A;PROFESIONALA;2
7581;Gama de reglaj a curentului de pornire pentru o protectie diferentiala cu franare si transformatoare cu saturatie rapida, realizata cu relee tip RDS-3 este cuprinsa intre:;3 si 12A;5 si 20A;3 si 10A;-;-;A;PROFESIONALA;2
7582;Procesul tranzitoriu care apare in momentul unei puneri la pamant intr-o retea compensata prin bobina de stingere este caracterizat prin:;prima semiperioada a curentului homopolar tranzitoriu, pe linia defecta este in opozitie de faza cu tensiunea homopolara;prima semiperioada a curentului homopolar tranzitoriu, pe linia defecta este in faza cu tensiunea homopolara;curentul inductiv produs de bobina de stingere are o viteza de crestere mai mare decat cea a curentului capacitiv;curentul inductiv produs de bobina de stingere are o viteza de crestere mai mica decat cea a curentului capacitiv;-;BD;PROFESIONALA;5
7584;Coeficientul de revenire al unui releu este:;intotdeauna subunitar pentru releele minimale;intotdeauna subunitar pentru releele maximale;intotdeauna supraunitar pentru releele maximale;intotdeauna supraunitar pentru releele minimale;-;BD;PROFESIONALA;2
7585;Referitor la releele magnetoelectrice (balanta), urmatoarele afirmatii sunt adevarate:;releul actioneaza in functie de valoarea fiecaruia dintre curentii ce strabat bobinele;nu pot fi folosite direct in curent alternativ (fara redresare);capacitate marita de comutare a contactelor;sensibilitate scazuta;-;B;PROFESIONALA;2
7586;Un circuit electric este format din rezistenta R1 legata in serie cu rezistentele R2 si R3 legate in paralel. Toate rezistentele sunt egale si au valoarea de 1ohm. Care este valoarea rezistentei echivalente a circuitului?;1ohm;1,5ohmi;2 ohmi;3 ohmi;-;B;PROFESIONALA;3
7587;In cazul releului de distanta tip D113, lungimea liniei care poate fi protejata de protectie este:;limitata de organul de masura;limitata de organul de pornire;teoretic infinita;-;-;BC;PROFESIONALA;3
7589;Sensibilitatea releului de distanta D113 poate fi modificata, pentru linii lungi, scurte sau foarte scurte, in raport de:;01:05;01:03;01:02;-;-;C;PROFESIONALA;2
7590;Gradatia scalei unui releu de curent tip RC 2 este in urmatoarea succesiune:;"0,5;0,6;0,7;0,8;0,9;1";"0,2;0,4;0,6;0,8;1";"0,5;0,6;0,7;0,8;0,9;1;1,2";-;-;A;PROFESIONALA;2
7591;Gradatia scalei unui releu de tensiune tip RT 3 este in urmatoarea succesiune:;"0,5;0,6;0,7;0,8;0,9;1";"0,2;0,4;0,6;0,8;1";"0,5;0,6;0,7;0,8;0,9;1;1,2";-;-;A;PROFESIONALA;2
7593;Releele de timp RTpa5 se construiesc in urmatoarele game de temporizare ( secunde);"0,1-1,3; 0,25-3,5; 0,5-9; 2-20";"0,1-1,5; 0,25-3,5; 0,5-8; 2-20";"0,1-1,5; 0,25-3,5; 0,5-10; 2-20";-;-;A;PROFESIONALA;2
7594;Activarea functiei de blocaj la disparitia tensiunii alternative de masura conduce la:;blocarea protectiei maximale de tensiune;blocarea protectiei de distanta;blocarea protectiei de masa a barelor;-;-;AB;PROFESIONALA;6
7596;Functia de accelerare a protectiei la conectarea pe defect (Switch On To Fault - SOTF) este:;o protectie directionata;o protectie nedirectionata;activata fie extern, prin intermediul unui contact al releului de copiere a comenzii manuale de conectare a intreruptorului, fie intern;destinata declansarii rapide a defectelor pe intreaga lungime a liniei, la punerea acesteia sub tensiune;-;BCD;PROFESIONALA;5
7597;Alimentarea automatizarii DAS trebuie realizata:;cu circuite de alimentare operativa comune cu cele ale protectiilor individuale ale elementelor instalatiilor;cu circuite de alimentare operativa separate de cele ale protectiilor individuale ale elementelor instalatiilor;prin doua cai separate, cu comutare automata rapida de pe o alimentare pe alta;de regula, printr-o singura cale;-;BC;PROFESIONALA;5
7599;Ce conditie trebuie sa se respecte la alegerea curentului nominal al rezistorului (Inr), fara a se tine seama de justificari tehnico economice, in cazul tratarii retelelor de medie tensiune prin rezistenta;1,6 x Ict mai mic sau egal cu Inr, Inr mai mic sau egal cu 2,1 x Ict, unde Ict = Curentul capacitiv total al retelei;1,8 x Ict mai mic sau egal cu Inr, Inr mai mic sau egal cu 2,2 x Ict, unde Ict = Curentul capacitiv total al retelei;Inr mai mic sau egal cu 2,0 x Ict, unde Ict = Curentul capacitiv total al retelei;Inr mai mare sau egal cu 2,0 x Ict, unde Ict = Curentul capacitiv total al retelei;Inr mai mic sau egal cu 1,5 x Ict, unde Ict = Curentul capacitiv total al retelei;D;PROFESIONALA;5
7601;Care este valoarea curentului de incercare a izolatiei dintre masa metalica a celulelor si priza de pamant a statiei, in cazul realizarii protectiei impotriva punerii la masa a barelor de medie tensiune (PMB)?;Se recomanda ca incercarea sa fie efectuata cu un curent de 100 A;Se recomanda ca incercarea sa fie efectuata cu un curent de 1000 mA;Se recomanda ca incercarea sa fie efectuata cu un curent de 70 A;Se recomanda ca incercarea sa fie efectuata cu un curent de 500 mA;Se recomanda ca incercarea sa fie efectuata cu un curent de 300 A;A;PROFESIONALA;3
7602;Care este reglajul de timp al protectiei homopolare de curent montata pe partea de medie tensiune a transformatoarelor de 110kV/MT cu conexiune Yo- Delta in cazul tratarii neutrului prin rezistenta conectata la neutrul transformatorului de servicii proprii;In acest caz nu se pune in functie aceasta protectie;Cu o treapta de timp Delta-t = 0,5 s mai mare decat cea mai mare temporizarea a protectiei homopolare de pe liniile electrice conectate pe aceeasi bara cu transformatorul;t = 0,2s;Cu o treapta de timp Delta-t = 0,5 s mai mare decat cea mai mica temporizarea a protectiei homopolare de pe liniile electrice conectate pe aceeasi bara cu transformatorul;e). t = 0,3s;C;PROFESIONALA;5
7605;Pe cate faze se masoara intensitatea curentului electric?;Masurarea intensitatii curentului se efectueaza, de regula, pe trei faze;Masurarea intensitatii curentului se efectueaza, de regula, pe doua faze la generatoarele cu puteri de peste 2500 kVA si in circuitele ce pot functiona timp indelungat cu sarcini inegale pe faze (cum este cazul liniilor de inaltƒ? tensiune, la care este prevazuta posibilitatea functionarii indelungate in doua faze a liniilor de alimentare a consumatorilor cu sarcini mari monofazate).;"""Masurarea intensitatii curentului se efectueaza pe toate fazele. Aceasta trebuie masurata pe o faza la generatoarele cu puteri de peste 2500 kVA si in circuitele ce pot functiona timp indelungat cu sarcini inegale pe faze (cum este cazul liniilor de inalta tensiune, la care este prevazuta posibilitatea functionarii indelungate in doua faze a liniilor de alimentare a consumatorilor cu sarcini mari monofazate).""";"""Masurarea intensitatii curentului se efectueaza, de regula, pe o singura faza. Aceasta trebuie masurata pe toate fazele la generatoarele cu puteri de peste 2500 kVA si in circuitele ce pot functiona timp indelungat cu sarcini inegale pe faze (cum este cazul liniilor de inalta tensiune, la care este prevazuta posibilitatea functionarii indelungate in doua faze a liniilor de alimentare a consumatorilor cu sarcini mari monofazate).""";-;D;PROFESIONALA;3
7606;"""Se admite conectarea protectiilor la √Ænfasurarile de masura ale transformatoarelor de curent, separat sau √Æmpreunƒ? cu aparate de masura?""";Da, in orice conditii;"""Da daca sunt respectate urmatoarele conditii: a) protectiile se regleaza la curenti inferiori curentilor limita de exactitate, calculati in functie de factorul de securitate si sarcina secundara a infasurarii de masura; b) protectiile pot functiona corect chiar si la saturatia miezului transformatoarelor de curent; c) sarcina secundara reala a infasurarii de masura se incadreaza in limitele impuse de conditiile de exactitate.""";Nu se admite conectarea protectiilor la infasurarile de masura ale transformatoarelor de curent.;"""Da daca este respectata una din urmatoarele conditii: a) protectiile se regleaza la curenti inferiori curentilor limita de exactitate, calculati in functie de factorul de securitate si sarcina secundara a infasurarii de masura; b) protectiile pot functiona corect chiar si la saturatia miezului transformatoarelor de curent;.""";-;B;PROFESIONALA;2
7608;Un sistem de comunicatii pentru sisteme energetice se presupune a indeplini urmatoarele conditii:;Poate accesa atatea locatii cate sunt necesare pentru a realiza functiile de control si monitorizare;Poate manevra cea mai rapida rata de date ce poate fi ceruta de oricare din aplicatii;Poate continua sa opereze chiar daca o parte a retelei este afectata;-;-;ABC;PROFESIONALA;2
7609;Functia de accelerare a protectiei la conectarea pe defect (Switch On To Fault - SOTF) este destinata:;Declansarii rapide a defectelor, pe intreaga lungime a liniei, la punerea sub tensiune a acesteia;Declansarii rapide a defectelor, pe 80% din lungimea liniei, la punerea sub tensiune a acesteia;Declansarii temporizate a defectelor, pe intreaga lungime a liniei, la punerea sub tensiune a acesteia;-;-;A;PROFESIONALA;2
7610;Intr-un circuit alimentat de la o sursa de tensiune de E=9V si care contine o rezistenta R=6‚?¶ se monteaza un ampermetru care are ra = 1‚?¶. Dupa montarea ampermetrului valoarea curentului prin circuit este:;I = 9/7 A;I = 7/9 A;I = 9/5 A;I = 1,285 A;-;AD;PROFESIONALA;3
7612;Referitor la protectia diferentiala a transformatoarelor de putere, care din urmatoarele afirmatii sunt false despre curentul de magnetizare:;curentul de magnetizare trece numai prin infasurarea de pe partea sursei de alimentare;armonica a treia si armonicile multiplu de 3 influenteaza comportarea protectiei diferentiale;armonica de ordin 2, din componenta curentului de magnetizare nu are influenta preponderenta asupra comportarii protectiei diferentiale;-;-;BC;PROFESIONALA;3
7613;Protectia de distanta realizeaza separarea elementului protejat in cazul unui scurtcircuit in zona protejata in urmatoarele situatii:;cand in zona protejata are loc o crestere importanta a curentului si o scadere mare a tensiunii sesizate de releul de minima impedanta;cand are loc o scadere considerabila a raportului U/I (tensiune/curent) sesizata de relelul de minima impedanta;cand distanta pana la locul de defect a scazut sub valoarea reglata pe relelul de distanta;cand impedanta Z a elementului protejat a scazut sub valoarea reglata pe releu;-;ABD;PROFESIONALA;5
7614;La un reductor de curent cu raportul de transformare nTC=100/5A, s-a aplicat in primar un curent de I-100A, iar in secundar s-a obtinut curentul I-4,95 A. Sa se precizeze eroarea de curent (%) a reductoorului:;1%;2%;5%;-;-;A;PROFESIONALA;2
7615;Referitor la protectia diferentiala de faza montata pe o linie electrica aeriana (LEA) 110kV, care din urmatoarele afirmatii sunt adevarate?;"compararea fazelor curentilor de la cele doua capete ale liniei protejate;";"pentru a functiona corect protectia clasica se realizeaza prin conectarea in mod diferit ca polaritate a transformatoarelor de curent pe partea secundara la cele doua capete ale liniei protejate;";la un defect in interiorul zonei protejate diferenta de faza a curentilor primari este de 180 de grade;la un defect in exteriorul zonei protejate diferenta algebrica intre curentii secundari de la capetele zonei protejate este egala cu zero;-;ABC;PROFESIONALA;6
7617;Protectia de suprasarcina a unui transformator 110/MT se regleaza in functie de:;valoarea curentului de magnetizare a transformatorului;valoarea curentului de scurtcircuit maxim pe bara de MT;valoarea curentului nominal al transformatorului;cea mai mica valoare a curentului de scurtcircuit ce poate aparea in reteaua de MT;-;C;PROFESIONALA;3
7618;Un caz particular de releu electromagnetic este releul polarizat care are urmatoarele caracteristici:;este un releu fara arc antagonist;are o mare sensibilitate (0,5-10mV), de zeci de ori mai mare ca a releelor electromagnetice obisnuite;au timp propriu de actionare redus 2(ms);contactele au stabilitate termica mica;actioneaza la depasirea unei valori a curentului prin bobina;BCE;PROFESIONALA;5
7619;Care din urmatoarele functiuni le realizeaza schemele de comanda a intrerupatoarelor?;permit efectuarea comenzilor manuale;permit efectuarea comenzilor automate;permit anclansarea prin DRRI;permit declansarea prin protectii;permit mentinerea impulsului de comanda si dupa terminarea operatiei comandate;ABD;PROFESIONALA;3
7620;Cum trebuie ales curentul de pornire al protectiei diferentiale longitudinale?;egal cu valoarea curentului de dezechilibru posibil, datorita erorilor transformatoarelor de curent;mai mic decat valoarea curentului de dezechilibru posibil, datorita erorilor transformatorilor de curent;mai mare decat valoarea curentului de dezechilibru posibil, datorita erorilor transformatorilor de curent;-;-;C;PROFESIONALA;6
7621;"In cazul unei puneri la pamant nete in 220Vc.c. pe polul ""-"", care din valorile masurate sunt corecte:";"""+"" fata de pamant = 220V";"""+"" fata de pamant = 110V";"""+"" fata de pamant = 0V";"""-"" fata de pamant = 110V";"""-"" fata de pamant = 0V";AE;PROFESIONALA;2
7623;Se considera o linie electrica aeriana cu alimentari la ambele capete, pe care apare un scurtcircuit monofazat trecator. In aceasta situatie:;reanclansarea celui mai rapid intreruptor dintre cele doua de la capetele liniei se face cu controlul lipsei tensiunii pe linie;reanclansarea celui mai rapid intreruptor dintre cele doua de la capetele liniei se face cu controlul sincronismului;reanclansarea intreruptorului care anclanseaza ultimul dintre cele doua de la capetele liniei se face cu controlul lipsei tensiunii pe linie;reanclansarea intreruptorului care anclanseaza ultimul dintre cele doua de la capetele liniei se face cu controlul sincronismului;-;AD;PROFESIONALA;6
7624;Pentru a masura un curent de intensitate I = 0,3kA cu un transformator de 500/5A, se foloseste un ampermetru de:;10 mA;5:00 a.m.;250 mA;500 mA;-;B;PROFESIONALA;2
7625;Insusirea si respectarea prevederilor legislatiei in domeniul securitatii si sanatatii in munca si a masurilor de aplicare a acestora, constituie o obligatie a:;tuturor lucratorilor;lucratorilor din serviciile de prevenire si protectie;angajatorilor;-;-;A;PROTECTIA MUNCII;3
7626;Instruirea periodica in domeniul securitatii si sanatatii in munca si a situatiilor de urgenta se efectueaza de catre :;lucratorii din serviciile de prevenire si protectie;conducatorii locurilor de munca;seful de lucrare;-;-;B;PROTECTIA MUNCII;3
7627;Deconectarea automata in cazul aparitiei unei tensiuni sau a unui curent de defect periculoase este o masura tehnica pentru protectia impotriva :;atingerilor directe;atingerilor indirecte;tensiunii de atingere si de pas;-;-;B;PROTECTIA MUNCII;3
7628;Caracteristica de functionare a protectiei de distanta a unui releu numeric ABB tip REL511, pentru fiecare zona de impedanta, este:;cerc;elipsa;poligonala;MHO;-;C;PROFESIONALA;2
7629;Caracteristicile definitorii ale semnalului de ceas ale unui sistem digital sunt:;frecventa fck;perioada Tck;tensiunea Usc;curentul Isc;-;AB;PROFESIONALA;3
7630;Prelucrarea de catre un sistem cu microprocesor a unei informatii de natura analogica, furnizata de catre un traductor, comporta prezenta unui:;convertor numeric-analogic (CNA);convertor analog-numeric (CAN);multiplexor analogic (MUX);-;-;B;PROFESIONALA;5
7631;Comunicatia seriala in cazul standardului RS-485 permite transmisii sigure pana la distanta de:;100m;500m;1 km;-;-;C;PROFESIONALA;2
7632;Protectia numerica DSLPP100:;"poate functiona atat in combinatie cu EPAM100 cat si cu RAR-ul de linie;";"asigura functia de deconectare selectiva a liniilor electrice;";este integrata in sistemul de teleconducere/teleprotectie GALAXY.;-;-;ABC;PROFESIONALA;3
7634;Protectia numerica DSLPP100 este un echipament care include:;"o protectie de curent directionata;";"o protectie de baza tip homopolara de putere, combinata cu criteriul de verificare DESIR;";o protectie de rezerva bazata pe puterea homopolara (PHW).;-;-;BC;PROFESIONALA;5
7635;Functia de protectie de baza a releului numeric 7UT57 este:;distanta;"diferentiala de curent;";"maximala de curent;";homopolara directionata.;-;B;PROFESIONALA;2
